,0,1,2,3,label
870,John,M,57470,1923,0
871,Robert,M,56117,1923,0
872,William,M,52136,1923,0
873,James,M,50463,1923,0
874,Charles,M,28962,1923,0
875,George,M,27021,1923,0
876,Joseph,M,25561,1923,0
877,Edward,M,20597,1923,0
878,Richard,M,18884,1923,0
879,Donald,M,16435,1923,0
880,Mary,F,73534,1924,0
881,Dorothy,F,39999,1924,0
882,Helen,F,31192,1924,0
883,Betty,F,30599,1924,0
884,Margaret,F,26549,1924,0
885,Ruth,F,23600,1924,0
886,Virginia,F,18622,1924,0
887,Mildred,F,15853,1924,0
888,Doris,F,15785,1924,0
889,Frances,F,15183,1924,0
890,Robert,M,60801,1924,0
891,John,M,59055,1924,0
892,William,M,53511,1924,0
893,James,M,52939,1924,0
894,Charles,M,30461,1924,0
895,George,M,27375,1924,0
896,Joseph,M,25428,1924,0
897,Richard,M,21246,1924,0
898,Edward,M,21128,1924,0
899,Donald,M,17929,1924,0
900,Mary,F,70591,1925,0
901,Dorothy,F,38570,1925,0
902,Betty,F,32813,1925,0
903,Helen,F,29172,1925,0
904,Margaret,F,24463,1925,0
905,Ruth,F,22248,1925,0
906,Virginia,F,17489,1925,0
907,Doris,F,16074,1925,0
908,Mildred,F,14451,1925,0
909,Elizabeth,F,13935,1925,0
910,Robert,M,60897,1925,0
911,John,M,57199,1925,0
912,William,M,53304,1925,0
913,James,M,52682,1925,0
914,Charles,M,29582,1925,0
915,George,M,26566,1925,0
916,Joseph,M,24613,1925,0
917,Richard,M,23268,1925,0
918,Edward,M,20089,1925,0
919,Donald,M,19191,1925,0
920,Mary,F,67832,1926,0
921,Dorothy,F,36617,1926,0
922,Betty,F,32964,1926,0
923,Helen,F,26884,1926,0
924,Margaret,F,23070,1926,0
925,Ruth,F,20223,1926,0
926,Doris,F,16298,1926,0
927,Virginia,F,16162,1926,0
928,Mildred,F,13551,1926,0
929,Frances,F,13355,1926,0
930,Robert,M,61130,1926,0
931,John,M,56110,1926,0
932,James,M,53209,1926,0
933,William,M,51920,1926,0
934,Charles,M,29521,1926,0
935,George,M,25904,1926,0
936,Richard,M,25149,1926,0
937,Joseph,M,23759,1926,0
938,Donald,M,20912,1926,0
939,Edward,M,19378,1926,0
940,Mary,F,70639,1927,0
941,Dorothy,F,35987,1927,0
942,Betty,F,35422,1927,0
943,Helen,F,25320,1927,0
944,Margaret,F,21964,1927,0
945,Ruth,F,19414,1927,0
946,Doris,F,16510,1927,0
947,Virginia,F,15725,1927,0
948,Shirley,F,13315,1927,0
949,Barbara,F,13161,1927,0
950,Robert,M,61669,1927,0
951,John,M,55954,1927,0
952,James,M,53674,1927,0
953,William,M,51482,1927,0
954,Charles,M,31936,1927,0
955,Richard,M,26771,1927,0
956,George,M,25949,1927,0
957,Donald,M,23840,1927,0
958,Joseph,M,23506,1927,0
959,Edward,M,19113,1927,0
960,Mary,F,66872,1928,0
961,Betty,F,36080,1928,0
962,Dorothy,F,33731,1928,0
963,Helen,F,22934,1928,0
964,Margaret,F,20295,1928,0
965,Ruth,F,17858,1928,0
966,Doris,F,16572,1928,0
967,Barbara,F,14873,1928,0
968,Virginia,F,14501,1928,0
969,Shirley,F,14212,1928,0
970,Robert,M,60699,1928,0
971,John,M,53755,1928,0
972,James,M,52754,1928,0
973,William,M,49117,1928,0
974,Charles,M,31247,1928,0
975,Richard,M,28794,1928,0
976,Donald,M,25698,1928,0
977,George,M,24400,1928,0
978,Joseph,M,22311,1928,0
979,Edward,M,18489,1928,0
980,Mary,F,63508,1929,0
981,Betty,F,36675,1929,0
982,Dorothy,F,31477,1929,0
983,Helen,F,20985,1929,0
984,Margaret,F,19206,1929,0
985,Doris,F,16496,1929,0
986,Barbara,F,16037,1929,0
987,Ruth,F,16019,1929,0
988,Shirley,F,14579,1929,0
989,Patricia,F,13625,1929,0
990,Robert,M,59798,1929,0
991,James,M,52127,1929,0
992,John,M,52113,1929,0
993,William,M,47805,1929,0
994,Charles,M,29931,1929,0
995,Richard,M,29569,1929,0
996,Donald,M,27186,1929,0
997,George,M,23017,1929,0
998,Joseph,M,21162,1929,0
999,Edward,M,17226,1929,0
1000,Mary,F,64146,1930,0
1001,Betty,F,38234,1930,0
1002,Dorothy,F,30409,1930,0
1003,Helen,F,19914,1930,0
1004,Margaret,F,18354,1930,0
1005,Barbara,F,18281,1930,0
1006,Patricia,F,15751,1930,0
1007,Joan,F,15479,1930,0
1008,Doris,F,15464,1930,0
1009,Ruth,F,14940,1930,0
1010,Robert,M,62149,1930,0
1011,James,M,53941,1930,0
1012,John,M,52434,1930,0
1013,William,M,47265,1930,0
1014,Richard,M,32183,1930,0
1015,Charles,M,31871,1930,0
1016,Donald,M,29048,1930,0
1017,George,M,22784,1930,0
1018,Joseph,M,20981,1930,0
1019,Edward,M,17349,1930,0
1020,Mary,F,60296,1931,0
1021,Betty,F,36105,1931,0
1022,Dorothy,F,26524,1931,0
1023,Barbara,F,21797,1931,0
1024,Joan,F,19117,1931,0
1025,Helen,F,17661,1931,0
1026,Margaret,F,17333,1931,0
1027,Patricia,F,16468,1931,0
1028,Shirley,F,14405,1931,0
1029,Doris,F,13629,1931,0
1030,Robert,M,60508,1931,0
1031,James,M,51219,1931,0
1032,John,M,48423,1931,0
1033,William,M,43276,1931,0
1034,Richard,M,31816,1931,0
1035,Charles,M,29924,1931,0
1036,Donald,M,29102,1931,0
1037,George,M,20687,1931,0
1038,Joseph,M,19330,1931,0
1039,Thomas,M,16846,1931,0
1040,Mary,F,59874,1932,0
1041,Betty,F,34417,1932,0
1042,Barbara,F,26314,1932,0
1043,Dorothy,F,24974,1932,0
1044,Joan,F,21045,1932,0
1045,Patricia,F,17989,1932,0
1046,Margaret,F,16549,1932,0
1047,Helen,F,16376,1932,0
1048,Shirley,F,14476,1932,0
1049,Doris,F,12909,1932,0
1050,Robert,M,59266,1932,0
1051,James,M,51922,1932,0
1052,John,M,48617,1932,0
1053,William,M,42117,1932,0
1054,Richard,M,31798,1932,0
1055,Charles,M,31095,1932,0
1056,Donald,M,29786,1932,0
1057,George,M,20436,1932,0
1058,Joseph,M,18563,1932,0
1059,Thomas,M,16834,1932,0
1060,Mary,F,55509,1933,0
1061,Betty,F,31526,1933,0
1062,Barbara,F,26951,1933,0
1063,Dorothy,F,22047,1933,0
1064,Joan,F,19290,1933,0
1065,Patricia,F,18631,1933,0
1066,Margaret,F,15239,1933,0
1067,Helen,F,14643,1933,0
1068,Shirley,F,14315,1933,0
1069,Doris,F,12024,1933,0
1070,Robert,M,54218,1933,0
1071,James,M,51102,1933,0
1072,John,M,46222,1933,0
1073,William,M,39049,1933,0
1074,Richard,M,31337,1933,0
1075,Charles,M,28988,1933,0
1076,Donald,M,28437,1933,0
1077,George,M,18358,1933,0
1078,Joseph,M,17162,1933,0
1079,Thomas,M,16500,1933,0
1080,Mary,F,56929,1934,0
1081,Betty,F,31085,1934,0
1082,Barbara,F,29234,1934,0
1083,Shirley,F,22840,1934,0
1084,Dorothy,F,21283,1934,0
1085,Patricia,F,20845,1934,0
1086,Joan,F,19464,1934,0
1087,Margaret,F,15144,1934,0
1088,Helen,F,14100,1934,0
1089,Nancy,F,13518,1934,0
1090,Robert,M,55829,1934,0
1091,James,M,54249,1934,0
1092,John,M,46734,1934,0
1093,William,M,40170,1934,0
1094,Richard,M,33157,1934,0
1095,Donald,M,30409,1934,0
1096,Charles,M,29792,1934,0
1097,George,M,18497,1934,0
1098,Thomas,M,17369,1934,0
1099,Joseph,M,17101,1934,0
1100,Mary,F,55069,1935,0
1101,Shirley,F,42358,1935,0
1102,Barbara,F,30696,1935,0
1103,Betty,F,28673,1935,0
1104,Patricia,F,22877,1935,0
1105,Dorothy,F,19404,1935,0
1106,Joan,F,18223,1935,0
1107,Margaret,F,14725,1935,0
1108,Nancy,F,14544,1935,0
1109,Helen,F,12781,1935,0
1110,Robert,M,56524,1935,0
1111,James,M,55000,1935,0
1112,John,M,47499,1935,0
1113,William,M,40198,1935,0
1114,Richard,M,33945,1935,0
1115,Charles,M,29983,1935,0
1116,Donald,M,29661,1935,0
1117,George,M,18559,1935,0
1118,Thomas,M,17680,1935,0
1119,Joseph,M,17183,1935,0
1120,Mary,F,54372,1936,0
1121,Shirley,F,35161,1936,0
1122,Barbara,F,31682,1936,0
1123,Betty,F,25866,1936,0
1124,Patricia,F,23914,1936,0
1125,Dorothy,F,17669,1936,0
1126,Joan,F,17069,1936,0
1127,Nancy,F,16756,1936,0
1128,Margaret,F,14594,1936,0
1129,Carol,F,14521,1936,0
1130,Robert,M,58492,1936,0
1131,James,M,54686,1936,0
1132,John,M,47669,1936,0
1133,William,M,39386,1936,0
1134,Richard,M,33487,1936,0
1135,Charles,M,29084,1936,0
1136,Donald,M,28635,1936,0
1137,Thomas,M,18339,1936,0
1138,George,M,18195,1936,0
1139,David,M,17479,1936,0
1140,Mary,F,55645,1937,0
1141,Barbara,F,34912,1937,0
1142,Patricia,F,26839,1937,0
1143,Shirley,F,26816,1937,0
1144,Betty,F,25332,1937,0
1145,Carol,F,17336,1937,0
1146,Nancy,F,17069,1937,0
1147,Dorothy,F,16572,1937,0
1148,Joan,F,15299,1937,0
1149,Margaret,F,15143,1937,0
1150,Robert,M,61835,1937,0
1151,James,M,56551,1937,0
1152,John,M,48746,1937,0
1153,William,M,40713,1937,0
1154,Richard,M,32973,1937,0
1155,Charles,M,30524,1937,0
1156,Donald,M,27868,1937,0
1157,David,M,20974,1937,0
1158,Thomas,M,19775,1937,0
1159,George,M,18430,1937,0
1160,Mary,F,56215,1938,0
1161,Barbara,F,39279,1938,0
1162,Patricia,F,27556,1938,0
1163,Betty,F,25504,1938,0
1164,Shirley,F,23767,1938,0
1165,Carol,F,19424,1938,0
1166,Nancy,F,18948,1938,0
1167,Dorothy,F,16348,1938,0
1168,Margaret,F,15330,1938,0
1169,Joan,F,14302,1938,0
1170,Robert,M,62268,1938,0
1171,James,M,59099,1938,0
1172,John,M,50519,1938,0
1173,William,M,42422,1938,0
1174,Richard,M,34380,1938,0
1175,Charles,M,31138,1938,0
1176,Donald,M,26665,1938,0
1177,David,M,22992,1938,0
1178,Thomas,M,21376,1938,0
1179,Ronald,M,20296,1938,0
1180,Mary,F,54901,1939,0
1181,Barbara,F,37258,1939,0
1182,Patricia,F,29706,1939,0
1183,Betty,F,23641,1939,0
1184,Shirley,F,20445,1939,0
1185,Carol,F,20166,1939,0
1186,Nancy,F,19726,1939,0
1187,Judith,F,16626,1939,0
1188,Dorothy,F,15171,1939,0
1189,Margaret,F,14952,1939,0
1190,Robert,M,59645,1939,0
1191,James,M,59627,1939,0
1192,John,M,51015,1939,0
1193,William,M,42077,1939,0
1194,Richard,M,35373,1939,0
1195,Charles,M,30787,1939,0
1196,David,M,25362,1939,0
1197,Donald,M,24056,1939,0
1198,Thomas,M,22128,1939,0
1199,Ronald,M,19835,1939,0
1200,Mary,F,56203,1940,0
1201,Barbara,F,36734,1940,0
1202,Patricia,F,32664,1940,0
1203,Judith,F,22382,1940,0
1204,Betty,F,22074,1940,0
1205,Carol,F,21761,1940,0
1206,Nancy,F,19732,1940,0
1207,Linda,F,18369,1940,0
1208,Shirley,F,17878,1940,0
1209,Sandra,F,16150,1940,0
1210,James,M,62473,1940,0
1211,Robert,M,61196,1940,0
1212,John,M,54779,1940,0
1213,William,M,44768,1940,0
1214,Richard,M,37415,1940,0
1215,Charles,M,31684,1940,0
1216,David,M,27687,1940,0
1217,Thomas,M,23987,1940,0
1218,Donald,M,23106,1940,0
1219,Ronald,M,20730,1940,0
1220,Mary,F,58040,1941,0
1221,Barbara,F,39538,1941,0
1222,Patricia,F,36901,1941,0
1223,Carol,F,24181,1941,0
1224,Linda,F,23721,1941,0
1225,Judith,F,23316,1941,0
1226,Betty,F,20905,1941,0
1227,Nancy,F,20881,1941,0
1228,Sandra,F,19498,1941,0
1229,Shirley,F,16953,1941,0
1230,James,M,66736,1941,0
1231,Robert,M,64233,1941,0
1232,John,M,57515,1941,0
1233,William,M,47789,1941,0
1234,Richard,M,39106,1941,0
1235,Charles,M,32732,1941,0
1236,David,M,30551,1941,0
1237,Thomas,M,26643,1941,0
1238,Ronald,M,24399,1941,0
1239,Donald,M,22633,1941,0
1240,Mary,F,63254,1942,0
1241,Barbara,F,44734,1942,0
1242,Patricia,F,39456,1942,0
1243,Linda,F,31611,1942,0
1244,Carol,F,30273,1942,0
1245,Sandra,F,24993,1942,0
1246,Judith,F,24792,1942,0
1247,Nancy,F,23325,1942,0
1248,Betty,F,21653,1942,0
1249,Carolyn,F,19979,1942,0
1250,James,M,77176,1942,0
1251,Robert,M,71838,1942,0
1252,John,M,66027,1942,0
1253,William,M,54884,1942,0
1254,Richard,M,43585,1942,0
1255,David,M,35894,1942,0
1256,Charles,M,35843,1942,0
1257,Thomas,M,31098,1942,0
1258,Ronald,M,27134,1942,0
1259,Donald,M,23951,1942,0
1260,Mary,F,66169,1943,0
1261,Barbara,F,43429,1943,0
1262,Patricia,F,39625,1943,0
1263,Linda,F,38439,1943,0
1264,Carol,F,31682,1943,0
1265,Sandra,F,25988,1943,0
1266,Judith,F,25209,1943,0
1267,Sharon,F,24713,1943,0
1268,Nancy,F,23990,1943,0
1269,Betty,F,21596,1943,0
1270,James,M,80261,1943,0
1271,Robert,M,74865,1943,0
1272,John,M,68919,1943,0
1273,William,M,55898,1943,0
1274,Richard,M,46328,1943,0
1275,David,M,37236,1943,0
1276,Charles,M,36627,1943,0
1277,Thomas,M,32865,1943,0
1278,Ronald,M,29235,1943,0
1279,Michael,M,24743,1943,0
1280,Mary,F,62467,1944,0
1281,Barbara,F,39197,1944,0
1282,Linda,F,38412,1944,0
1283,Patricia,F,36877,1944,0
1284,Carol,F,30456,1944,0
1285,Sandra,F,26023,1944,0
1286,Nancy,F,23212,1944,0
1287,Judith,F,22430,1944,0
1288,Sharon,F,22430,1944,0
1289,Betty,F,19756,1944,0
1290,James,M,76951,1944,0
1291,Robert,M,70843,1944,0
1292,John,M,66610,1944,0
1293,William,M,52369,1944,0
1294,Richard,M,45642,1944,0
1295,David,M,37381,1944,0
1296,Charles,M,34654,1944,0
1297,Thomas,M,31598,1944,0
1298,Michael,M,26720,1944,0
1299,Ronald,M,25511,1944,0
1300,Mary,F,59283,1945,0
1301,Linda,F,41462,1945,0
1302,Barbara,F,38276,1945,0
1303,Patricia,F,35839,1945,0
1304,Carol,F,30387,1945,0
1305,Sandra,F,24701,1945,0
1306,Nancy,F,21456,1945,0
1307,Sharon,F,20834,1945,0
1308,Judith,F,20189,1945,0
1309,Susan,F,19222,1945,0
1310,James,M,74449,1945,0
1311,Robert,M,69937,1945,0
1312,John,M,66113,1945,0
1313,William,M,50213,1945,0
1314,Richard,M,46043,1945,0
1315,David,M,37098,1945,0
1316,Charles,M,32462,1945,0
1317,Thomas,M,31869,1945,0
1318,Michael,M,29899,1945,0
1319,Ronald,M,23663,1945,0
1320,Mary,F,67467,1946,0
1321,Linda,F,52710,1946,0
1322,Patricia,F,46296,1946,0
1323,Barbara,F,45122,1946,0
1324,Carol,F,34284,1946,0
1325,Sandra,F,31692,1946,0
1326,Nancy,F,28344,1946,0
1327,Susan,F,28267,1946,0
1328,Sharon,F,27824,1946,0
1329,Judith,F,22308,1946,0
1330,James,M,87436,1946,0
1331,Robert,M,84138,1946,0
1332,John,M,79261,1946,0
1333,William,M,60038,1946,0
1334,Richard,M,58868,1946,0
1335,David,M,46439,1946,0
1336,Michael,M,41181,1946,0
1337,Thomas,M,38867,1946,0
1338,Charles,M,38203,1946,0
1339,Ronald,M,31855,1946,0
1340,Linda,F,99689,1947,0
1341,Mary,F,71687,1947,0
1342,Patricia,F,51279,1947,0
1343,Barbara,F,48792,1947,0
1344,Sandra,F,34775,1947,0
1345,Carol,F,33539,1947,0
1346,Nancy,F,32444,1947,0
1347,Susan,F,31954,1947,0
1348,Sharon,F,28535,1947,0
1349,Donna,F,23519,1947,0
1350,James,M,94757,1947,0
1351,Robert,M,91640,1947,0
1352,John,M,88319,1947,0
1353,William,M,66989,1947,0
1354,Richard,M,58521,1947,0
1355,David,M,57806,1947,0
1356,Michael,M,50501,1947,0
1357,Thomas,M,44835,1947,0
1358,Charles,M,40770,1947,0
1359,Larry,M,34938,1947,0
1360,Linda,F,96211,1948,0
1361,Mary,F,68597,1948,0
1362,Barbara,F,46826,1948,0
1363,Patricia,F,46136,1948,0
1364,Susan,F,35985,1948,0
1365,Sandra,F,31060,1948,0
1366,Nancy,F,29411,1948,0
1367,Carol,F,28979,1948,0
1368,Sharon,F,26142,1948,0
1369,Kathleen,F,23256,1948,0
1370,James,M,88584,1948,0
1371,Robert,M,85475,1948,0
1372,John,M,82829,1948,0
1373,William,M,61965,1948,0
1374,David,M,56623,1948,0
1375,Michael,M,52564,1948,0
1376,Richard,M,50970,1948,0
1377,Thomas,M,43778,1948,0
1378,Charles,M,38676,1948,0
1379,Ronald,M,33518,1948,0
1380,Linda,F,91016,1949,0
1381,Mary,F,66864,1949,0
1382,Patricia,F,46330,1949,0
1383,Barbara,F,42601,1949,0
1384,Susan,F,37706,1949,0
1385,Sandra,F,30642,1949,0
1386,Nancy,F,29246,1949,0
1387,Carol,F,26783,1949,0
1388,Kathleen,F,26354,1949,0
1390,James,M,86857,1949,1
1391,Robert,M,83872,1949,1
1392,John,M,81161,1949,1
1393,William,M,61501,1949,1
1394,Michael,M,60046,1949,1
1395,David,M,59601,1949,1
1396,Richard,M,50939,1949,1
1397,Thomas,M,45202,1949,1
1398,Charles,M,40042,1949,1
1399,Larry,M,31809,1949,1
1400,Linda,F,80431,1950,1
1401,Mary,F,65481,1950,1
1402,Patricia,F,47945,1950,1
1403,Barbara,F,41552,1950,1
1404,Susan,F,38017,1950,1
1405,Nancy,F,29616,1950,1
1406,Deborah,F,29063,1950,1
1407,Sandra,F,28896,1950,1
1408,Carol,F,26164,1950,1
1409,Kathleen,F,25704,1950,1
1410,James,M,86224,1950,1
1411,Robert,M,83559,1950,1
1412,John,M,79424,1950,1
1413,Michael,M,65144,1950,1
1414,David,M,60727,1950,1
1415,William,M,60689,1950,1
1416,Richard,M,51000,1950,1
1417,Thomas,M,45599,1950,1
1418,Charles,M,39102,1950,1
1419,Gary,M,33749,1950,1
1420,Linda,F,73978,1951,1
1421,Mary,F,65721,1951,1
1422,Patricia,F,56442,1951,1
1423,Deborah,F,42052,1951,1
1424,Barbara,F,40620,1951,1
1425,Susan,F,40228,1951,1
1426,Nancy,F,30347,1951,1
1427,Karen,F,27998,1951,1
1428,Sandra,F,27667,1951,1
1429,Kathleen,F,26715,1951,1
1430,James,M,87261,1951,1
1431,Robert,M,86351,1951,1
1432,John,M,81574,1951,1
1433,Michael,M,72797,1951,1
1434,David,M,64792,1951,1
1435,William,M,62782,1951,1
1436,Richard,M,54549,1951,1
1437,Thomas,M,48284,1951,1
1438,Charles,M,39397,1951,1
1439,Gary,M,38163,1951,1
1440,Linda,F,67082,1952,1
1441,Mary,F,65634,1952,1
1442,Patricia,F,53098,1952,1
1443,Deborah,F,49814,1952,1
1444,Susan,F,41350,1952,1
1445,Barbara,F,39865,1952,1
1446,Nancy,F,31740,1952,1
1447,Karen,F,28959,1952,1
1448,Debra,F,26832,1952,1
1449,Sandra,F,26101,1952,1
1450,James,M,87063,1952,1
1451,Robert,M,86604,1952,1
1452,John,M,83138,1952,1
1453,Michael,M,79049,1952,1
1454,David,M,71750,1952,1
1455,William,M,63047,1952,1
1456,Richard,M,58350,1952,1
1457,Thomas,M,48652,1952,1
1458,Charles,M,38869,1952,1
1459,Gary,M,38756,1952,1
1460,Mary,F,64379,1953,1
1461,Linda,F,61280,1953,1
1462,Deborah,F,52201,1953,1
1463,Patricia,F,51018,1953,1
1464,Susan,F,44297,1953,1
1465,Barbara,F,38472,1953,1
1466,Debra,F,36860,1953,1
1467,Nancy,F,30618,1953,1
1468,Karen,F,29853,1953,1
1469,Pamela,F,25759,1953,1
1470,Robert,M,86256,1953,1
1471,James,M,86099,1953,1
1472,Michael,M,84226,1953,1
1473,John,M,80190,1953,1
1474,David,M,76152,1953,1
1475,William,M,61840,1953,1
1476,Richard,M,58403,1953,1
1477,Thomas,M,47005,1953,1
1478,Charles,M,38434,1953,1
1479,Gary,M,36972,1953,1
1480,Mary,F,68007,1954,1
1481,Linda,F,55381,1954,1
1482,Deborah,F,54677,1954,1
1483,Patricia,F,49146,1954,1
1484,Susan,F,47151,1954,1
1485,Debra,F,45890,1954,1
1486,Barbara,F,36370,1954,1
1487,Karen,F,32454,1954,1
1488,Nancy,F,30264,1954,1
1489,Cynthia,F,27616,1954,1
1490,Michael,M,88528,1954,1
1491,Robert,M,86298,1954,1
1492,James,M,86272,1954,1
1493,John,M,81165,1954,1
1494,David,M,79529,1954,1
1495,William,M,61417,1954,1
1496,Richard,M,57014,1954,1
1497,Thomas,M,47158,1954,1
1498,Gary,M,37919,1954,1
1499,Charles,M,37451,1954,1
1500,Mary,F,63165,1955,1
1501,Deborah,F,52315,1955,1
1502,Linda,F,51288,1955,1
1503,Debra,F,50556,1955,1
1504,Susan,F,47402,1955,1
1505,Patricia,F,46217,1955,1
1506,Barbara,F,33605,1955,1
1507,Karen,F,33218,1955,1
1508,Nancy,F,30017,1955,1
1509,Donna,F,27943,1955,1
1510,Michael,M,88327,1955,1
1511,David,M,86253,1955,1
1512,James,M,84155,1955,1
1513,Robert,M,83703,1955,1
1514,John,M,80054,1955,1
1515,William,M,59958,1955,1
1516,Richard,M,53545,1955,1
1517,Thomas,M,45824,1955,1
1518,Mark,M,42222,1955,1
1519,Steven,M,37821,1955,1
1520,Mary,F,61756,1956,1
1521,Debra,F,48302,1956,1
1522,Linda,F,48075,1956,1
1523,Deborah,F,47837,1956,1
1524,Susan,F,46571,1956,1
1525,Patricia,F,43342,1956,1
1526,Karen,F,40047,1956,1
1527,Cynthia,F,32344,1956,1
1528,Barbara,F,32298,1956,1
1529,Donna,F,29856,1956,1
1530,Michael,M,90656,1956,1
1531,James,M,84863,1956,1
1532,Robert,M,83917,1956,1
1533,David,M,81624,1956,1
1534,John,M,80790,1956,1
1535,William,M,58957,1956,1
1536,Richard,M,52906,1956,1
1537,Mark,M,48832,1956,1
1538,Thomas,M,44818,1956,1
1539,Steven,M,38397,1956,1
1540,Mary,F,61094,1957,1
1541,Susan,F,45948,1957,1
1542,Linda,F,44500,1957,1
1543,Debra,F,42737,1957,1
1544,Karen,F,40586,1957,1
1545,Deborah,F,40071,1957,1
1546,Cynthia,F,39326,1957,1
1547,Patricia,F,39270,1957,1
1548,Barbara,F,29687,1957,1
1549,Donna,F,28039,1957,1
1550,Michael,M,92704,1957,1
1551,James,M,84275,1957,1
1552,David,M,82349,1957,1
1553,Robert,M,81717,1957,1
1554,John,M,78984,1957,1
1555,William,M,56829,1957,1
1556,Mark,M,52794,1957,1
1557,Richard,M,52401,1957,1
1558,Thomas,M,44572,1957,1
1559,Steven,M,36819,1957,1
1560,Mary,F,55857,1958,1
1561,Susan,F,45173,1958,1
1562,Linda,F,41899,1958,1
1563,Karen,F,38463,1958,1
1564,Patricia,F,37940,1958,1
1565,Debra,F,35517,1958,1
1566,Deborah,F,32937,1958,1
1567,Cynthia,F,31003,1958,1
1568,Barbara,F,27875,1958,1
1569,Donna,F,26949,1958,1
1570,Michael,M,90517,1958,1
1571,David,M,82578,1958,1
1572,James,M,78713,1958,1
1573,Robert,M,77272,1958,1
1574,John,M,75991,1958,1
1575,William,M,54195,1958,1
1576,Mark,M,52665,1958,1
1577,Richard,M,49942,1958,1
1578,Thomas,M,42064,1958,1
1579,Steven,M,32946,1958,1
1580,Mary,F,54474,1959,1
1581,Susan,F,41599,1959,1
1582,Linda,F,40403,1959,1
1583,Karen,F,36776,1959,1
1584,Donna,F,36465,1959,1
1585,Patricia,F,35220,1959,1
1586,Debra,F,31373,1959,1
1587,Cynthia,F,30167,1959,1
1588,Deborah,F,29552,1959,1
1589,Lisa,F,25691,1959,1
1590,Michael,M,85251,1959,1
1591,David,M,83931,1959,1
1592,James,M,78606,1959,1
1593,John,M,76407,1959,1
1594,Robert,M,74502,1959,1
1595,Mark,M,56909,1959,1
1596,William,M,51366,1959,1
1597,Richard,M,47169,1959,1
1598,Thomas,M,40276,1959,1
1599,Steven,M,33572,1959,1
1600,Mary,F,51475,1960,1
1601,Susan,F,39203,1960,1
1602,Linda,F,37311,1960,1
1603,Karen,F,36380,1960,1
1604,Donna,F,34132,1960,1
1605,Lisa,F,33702,1960,1
1606,Patricia,F,32104,1960,1
1607,Debra,F,26739,1960,1
1608,Cynthia,F,26723,1960,1
1609,Deborah,F,25265,1960,1
1610,David,M,85929,1960,1
1611,Michael,M,84180,1960,1
1612,James,M,76832,1960,1
1613,John,M,76093,1960,1
1614,Robert,M,72360,1960,1
1615,Mark,M,58728,1960,1
1616,William,M,49350,1960,1
1617,Richard,M,43546,1960,1
1618,Thomas,M,39273,1960,1
1619,Steven,M,33889,1960,1
1620,Mary,F,47680,1961,1
1621,Lisa,F,42702,1961,1
1622,Susan,F,37521,1961,1
1623,Linda,F,35579,1961,1
1624,Karen,F,34697,1961,1
1625,Patricia,F,28868,1961,1
1626,Donna,F,28668,1961,1
1627,Cynthia,F,24378,1961,1
1628,Sandra,F,24144,1961,1
1629,Deborah,F,24093,1961,1
1630,Michael,M,86917,1961,1
1631,David,M,84758,1961,1
1632,John,M,79929,1961,1
1633,James,M,75924,1961,1
1634,Robert,M,72901,1961,1
1635,Mark,M,57767,1961,1
1636,William,M,47994,1961,1
1637,Richard,M,41117,1961,1
1638,Thomas,M,37551,1961,1
1639,Steven,M,32240,1961,1
1640,Lisa,F,46078,1962,1
1641,Mary,F,43486,1962,1
1642,Susan,F,35743,1962,1
1643,Karen,F,35184,1962,1
1644,Linda,F,31468,1962,1
1645,Patricia,F,26536,1962,1
1646,Donna,F,25730,1962,1
1647,Cynthia,F,24021,1962,1
1648,Deborah,F,22894,1962,1
1649,Sandra,F,22414,1962,1
1650,Michael,M,85034,1962,1
1651,David,M,81324,1962,1
1652,John,M,78429,1962,1
1653,James,M,72555,1962,1
1654,Robert,M,70196,1962,1
1655,Mark,M,53504,1962,1
1656,William,M,44860,1962,1
1657,Richard,M,39409,1962,1
1658,Thomas,M,36524,1962,1
1659,Jeffrey,M,33521,1962,1
1660,Lisa,F,56040,1963,1
1661,Mary,F,41550,1963,1
1662,Susan,F,33998,1963,1
1663,Karen,F,32485,1963,1
1664,Linda,F,27719,1963,1
1665,Donna,F,25399,1963,1
1666,Patricia,F,25371,1963,1
1667,Lori,F,23907,1963,1
1668,Sandra,F,21619,1963,1
1669,Cynthia,F,21593,1963,1
1670,Michael,M,83782,1963,1
1671,John,M,78625,1963,1
1672,David,M,78467,1963,1
1673,James,M,71322,1963,1
1674,Robert,M,70012,1963,1
1675,Mark,M,49350,1963,1
1676,William,M,44474,1963,1
1677,Richard,M,40786,1963,1
1678,Thomas,M,35503,1963,1
1679,Jeffrey,M,31719,1963,1
1680,Lisa,F,54275,1964,1
1681,Mary,F,40990,1964,1
1682,Susan,F,31515,1964,1
1683,Karen,F,30247,1964,1
1684,Patricia,F,26088,1964,1
1685,Kimberly,F,24128,1964,1
1686,Donna,F,23810,1964,1
1687,Linda,F,23633,1964,1
1688,Cynthia,F,20320,1964,1
1689,Tammy,F,20041,1964,1
1690,Michael,M,82646,1964,1
1691,John,M,82533,1964,1
1692,David,M,75054,1964,1
1693,James,M,73037,1964,1
1694,Robert,M,70003,1964,1
1695,Mark,M,45269,1964,1
1696,William,M,44240,1964,1
1697,Richard,M,40097,1964,1
1698,Thomas,M,34451,1964,1
1699,Jeffrey,M,30732,1964,1
1700,Lisa,F,60269,1965,1
1701,Mary,F,34270,1965,1
1702,Karen,F,32872,1965,1
